Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due **(Excluding Tax at 9.35% Rate) ,Tax Due At 6.35%,Tax Due at 7%
EAST HADDAM (041),363,55978492.00,2258900.00,2257894.00,26.00
EAST HAMPTON (042),472,53592177.00,2502407.00,2501311.00,760.00
EAST HARTFORD (043),1160,8282957031.00,42404554.00,40508464.00,1893070.00
EAST HAVEN (044),626,326036406.00,17134794.00,16731059.00,398871.00
EAST LYME (045),587,158219260.00,5941399.00,5853916.00,86887.00
EAST WINDSOR (047),494,444406222.00,13417611.00,13413388.00,3503.00
EASTFORD (039),66,14381940.00,465414.00,460933.00,4250.00
EASTON (046),282,30435163.00,1041175.00,1036891.00,0.00
ELLINGTON (048),491,175917187.00,5538237.00,5533183.00,4108.00
ENFIELD (049),1032,787709278.00,29974372.00,29806174.00,166009.00
ESSEX (050),457,277633662.00,3939377.00,3836353.00,102765.00
FAIRFIELD (051),2225,1398107512.00,61653510.00,58918636.00,2732976.00
FARMINGTON (052),1187,1926892743.00,46158339.00,45215204.00,940156.00
FRANKLIN (053),129,115211228.00,3077065.00,3074375.00,0.00
GLASTONBURY (054),1409,594570053.00,21284860.00,20941761.00,340924.00
GOSHEN (055),180,24520829.00,697639.00,693581.00,1623.00
GRANBY (056),487,76828666.00,3110662.00,3099799.00,10306.00
GREENWICH (057),2350,2368290293.00,64889648.00,58083773.00,6797359.00
GRISWOLD (058),314,86920909.00,2128495.00,2124363.00,3129.00
GROTON (059),685,2602278850.00,18875683.00,18846768.00,27609.00
GUILFORD (060),1027,505486898.00,8055895.00,7811492.00,240944.00
HADDAM (061),368,56537674.00,2266861.00,2263481.00,0.00
HAMDEN (062),1647,703741552.00,25087155.00,23906224.00,1178674.00
HAMPTON (063),88,2826818.00,97796.00,96769.00,728.00
HARTFORD (064),2409,2115165535.00,111853833.00,110159768.00,1687930.00
HARTLAND (065),74,1682911.00,178067.00,178042.00,0.00
HARWINTON (066),251,20006893.00,1280547.00,1278518.00,161.00
HEBRON (067),329,39391356.00,1446590.00,1445866.00,508.00
KENT (068),228,36302851.00,1676062.00,1672890.00,1973.00
KILLINGLY (069),469,2960875058.00,4947213.00,4946225.00,623.00
KILLINGWORTH (070),261,30558207.00,1575023.00,1571813.00,592.00
LEBANON (071),309,24490533.00,625997.00,622761.00,1990.00
LEDYARD (072),318,108982571.00,5281076.00,5280563.00,70.00
LISBON (073),123,15981420.00,958152.00,958016.00,0.00
LITCHFIELD (074),571,145810895.00,5261925.00,5147822.00,112662.00
LYME (075),97,6039125.00,97780.00,97602.00,30.00
MADISON (076),785,164136956.00,8014354.00,7982067.00,30323.00
MANCHESTER (077),1658,3506276900.00,157753516.00,157641738.00,102177.00
MANSFIELD (078),402,84245021.00,3734142.00,3732387.00,817.00
MARLBOROUGH (079),247,21830258.00,1085024.00,1083726.00,53.00
